60
https://www.ynetnews.com/article/bjgronyho, Netanyahu, 16, Gantz,0, Lapid, 2, Ben-gvir, 0
https://www.ynetnews.com/article/bjo9ijzss, Netanyahu, 15, Gantz,0, Lapid, 2, Ben-gvir, 0
https://www.ynetnews.com/article/bjthoyjsi, -
https://www.ynetnews.com/article/bjv20svrj, Netanyahu, 47, Gantz,14, Lapid, 20, Ben-gvir, 0
https://www.ynetnews.com/article/bjvpg3rvs, Netanyahu, 0, Gantz,4, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/bkohgicvi, Netanyahu, 8, Gantz,8, Lapid, 8, Ben-gvir, 0
https://www.ynetnews.com/article/bkxgw1lho, Netanyahu, 28, Gantz,2, Lapid, 4, Ben-gvir, 19
https://www.ynetnews.com/article/bygnqtqbi, -
https://www.ynetnews.com/article/byohf5cho, Netanyahu, 33, Gantz,0, Lapid, 0, Ben-gvir, 2
https://www.ynetnews.com/article/bypkvxavi, -
https://www.ynetnews.com/article/byurr95hs, -
https://www.ynetnews.com/article/h12v5lbhs, Netanyahu, 32, Gantz,0, Lapid, 22, Ben-gvir, 2
https://www.ynetnews.com/article/h15ppa1bs, Netanyahu, 0, Gantz,0, Lapid, 2, Ben-gvir, 0
https://www.ynetnews.com/article/h15yrbbhj, -
https://www.ynetnews.com/article/h17g3klsj, Netanyahu, 43, Gantz,2, Lapid, 4, Ben-gvir, 0
https://www.ynetnews.com/article/h1n3jqsro, Netanyahu, 9, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/h1oie40ei, Netanyahu, 47, Gantz,0, Lapid, 15, Ben-gvir, 6
https://www.ynetnews.com/article/h1tyl0a4s, Netanyahu, 26, Gantz,0, Lapid, 6, Ben-gvir, 15
https://www.ynetnews.com/article/hj8i76ihj, Netanyahu, 31, Gantz,0, Lapid, 0, Ben-gvir, 26
https://www.ynetnews.com/article/hjbpao1ho, Netanyahu, 6, Gantz,0, Lapid, 0, Ben-gvir, 6
https://www.ynetnews.com/article/hjbusl11si, -
https://www.ynetnews.com/article/hjks00ekbo, Netanyahu, 4, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/hkayrovhj, Netanyahu, 38, Gantz,0, Lapid, 0, Ben-gvir, 6
https://www.ynetnews.com/article/hkere9psi, Netanyahu, 15, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/hkqoo5krs, -
https://www.ynetnews.com/article/hy0000fqbi, Netanyahu, 0, Gantz,0, Lapid, 25, Ben-gvir, 0
https://www.ynetnews.com/article/hyhwva1so, Netanyahu, 31, Gantz,0, Lapid, 4, Ben-gvir, 0
https://www.ynetnews.com/article/hyigf9a4s, -
https://www.ynetnews.com/article/hyolxptro, -
https://www.ynetnews.com/article/hyvspssbj, -
https://www.ynetnews.com/article/n2os0i4tv, Netanyahu, 8, Gantz,8, Lapid, 8, Ben-gvir, 0
https://www.ynetnews.com/article/ojd1zycgk, Netanyahu, 26, Gantz,0, Lapid, 2, Ben-gvir, 0
https://www.ynetnews.com/article/ppqdz779b, Netanyahu, 8, Gantz,8, Lapid, 8, Ben-gvir, 0
https://www.ynetnews.com/article/r13mf9phs, -
https://www.ynetnews.com/article/r1dnz0nrs, Netanyahu, 38, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/r1m9iukrs, Netanyahu, 6, Gantz,0, Lapid, 0, Ben-gvir, 2
https://www.ynetnews.com/article/r1vadb11bj, Netanyahu, 12, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/rjtqupkbo, Netanyahu, 37, Gantz,0, Lapid, 0, Ben-gvir, 25
https://www.ynetnews.com/article/rjxzpztvo, -
https://www.ynetnews.com/article/rka0eulss, Netanyahu, 4, Gantz,4, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/rkfz111zho, -
https://www.ynetnews.com/article/ry6ticzbj, Netanyahu, 2, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/ryn3o4qbo, -
https://www.ynetnews.com/article/rypjhglrs, -
https://www.ynetnews.com/article/ryyu5fsbo, -
https://www.ynetnews.com/article/s0zlsx55v, Netanyahu, 8, Gantz,8, Lapid, 8, Ben-gvir, 0
https://www.ynetnews.com/article/s1bc9rtei, -
https://www.ynetnews.com/article/s1j7wecro, Netanyahu, 2, Gantz,0, Lapid, 0, Ben-gvir, 16
https://www.ynetnews.com/article/s1qf11ysbi, -
https://www.ynetnews.com/article/s1rubkyho, Netanyahu, 50, Gantz,0, Lapid, 18, Ben-gvir, 16
https://www.ynetnews.com/article/s1x411vqri, -
https://www.ynetnews.com/article/sj1plgubi, Netanyahu, 12, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/sjf9mpsbj, Netanyahu, 24, Gantz,8, Lapid, 15, Ben-gvir, 0
https://www.ynetnews.com/article/sjq9wfkbo, -
https://www.ynetnews.com/article/sjvt76zbi, Netanyahu, 34, Gantz,0, Lapid, 2, Ben-gvir, 16
https://www.ynetnews.com/article/skbagrlsi, Netanyahu, 42, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/skdvhbnrj, -
https://www.ynetnews.com/article/skmvnfrhs, Netanyahu, 2, Gantz,0, Lapid, 0, Ben-gvir, 0
https://www.ynetnews.com/article/skmyybrbo, -
https://www.ynetnews.com/article/skq1flsbi, -
